source_pdf_url,saved_path,status
https://www.hiroshima-u.ac.jp/system/files/283314/05m-kokugo-koten.pdf,downloads/www.hiroshima-u.ac.jp/05m-kokugo-koten.pdf,ok:2162KB
https://www.hiroshima-u.ac.jp/system/files/283447/06m-rika.pdf,downloads/www.hiroshima-u.ac.jp/06m-rika.pdf,ok:298KB
https://www.hiroshima-u.ac.jp/system/files/283200/07m-butsuri_0.pdf,downloads/www.hiroshima-u.ac.jp/07m-butsuri_0.pdf,ok:825KB
https://www.hiroshima-u.ac.jp/system/files/283201/08m-kagaku_0.pdf,downloads/www.hiroshima-u.ac.jp/08m-kagaku_0.pdf,ok:908KB
https://www.hiroshima-u.ac.jp/system/files/283317/09_01m-seibutsu.pdf,downloads/www.hiroshima-u.ac.jp/09_01m-seibutsu.pdf,ok:84KB
https://www.hiroshima-u.ac.jp/system/files/283194/09m-seibutsu.pdf,downloads/www.hiroshima-u.ac.jp/09m-seibutsu.pdf,ok:2682KB
https://www.hiroshima-u.ac.jp/system/files/283199/10m-chigaku.pdf,downloads/www.hiroshima-u.ac.jp/10m-chigaku.pdf,ok:2064KB
https://www.hiroshima-u.ac.jp/system/files/283318/11m-eigo.pdf,downloads/www.hiroshima-u.ac.jp/11m-eigo.pdf,ok:1506KB
https://www.hiroshima-u.ac.jp/system/files/283386/13_01m-chugokugo.pdf,downloads/www.hiroshima-u.ac.jp/13_01m-chugokugo.pdf,ok:81KB
https://www.hiroshima-u.ac.jp/system/files/283411/13m-chugokugo.pdf,downloads/www.hiroshima-u.ac.jp/13m-chugokugo.pdf,ok:2629KB
https://www.hiroshima-u.ac.jp/system/files/283174/03m-syoronbun.pdf,downloads/www.hiroshima-u.ac.jp/03m-syoronbun.pdf,ok:1130KB
https://www.hiroshima-u.ac.jp/system/files/294630/16Zm-kyoikugakubu_ongaku-jitsugi.pdf,downloads/www.hiroshima-u.ac.jp/16Zm-kyoikugakubu_ongaku-jitsugi.pdf,ok:223KB
https://www.hiroshima-u.ac.jp/system/files/294485/15Zm-kyoikugakubu_bijyutsu-jitsugi.pdf,downloads/www.hiroshima-u.ac.jp/15Zm-kyoikugakubu_bijyutsu-jitsugi.pdf,ok:287KB
https://www.hiroshima-u.ac.jp/system/files/283175/z01k-suugaku5.pdf,downloads/www.hiroshima-u.ac.jp/z01k-suugaku5.pdf,ok:230KB
https://www.hiroshima-u.ac.jp/system/files/283176/z02k-suugaku6.pdf,downloads/www.hiroshima-u.ac.jp/z02k-suugaku6.pdf,ok:251KB
https://www.hiroshima-u.ac.jp/system/files/283177/z04k-kokugo-kindai.pdf,downloads/www.hiroshima-u.ac.jp/z04k-kokugo-kindai.pdf,ok:830KB
https://www.hiroshima-u.ac.jp/system/files/283323/z05k-kokugo-koten_0.pdf,downloads/www.hiroshima-u.ac.jp/z05k-kokugo-koten_0.pdf,ok:978KB
https://www.hiroshima-u.ac.jp/system/files/283179/z07k-butsuri.pdf,downloads/www.hiroshima-u.ac.jp/z07k-butsuri.pdf,ok:707KB
https://www.hiroshima-u.ac.jp/system/files/283180/z08k-kagaku.pdf,downloads/www.hiroshima-u.ac.jp/z08k-kagaku.pdf,ok:839KB
https://www.hiroshima-u.ac.jp/system/files/283321/z09k-seibutsu.pdf,downloads/www.hiroshima-u.ac.jp/z09k-seibutsu.pdf,ok:1923KB
https://www.hiroshima-u.ac.jp/system/files/283324/z10k-chigaku_0.pdf,downloads/www.hiroshima-u.ac.jp/z10k-chigaku_0.pdf,ok:801KB
https://www.hiroshima-u.ac.jp/system/files/283183/z11k-eigo.pdf,downloads/www.hiroshima-u.ac.jp/z11k-eigo.pdf,ok:809KB
https://www.hiroshima-u.ac.jp/system/files/283376/z13k-chugokugo.pdf,downloads/www.hiroshima-u.ac.jp/z13k-chugokugo.pdf,ok:2036KB
https://www.hiroshima-u.ac.jp/system/files/283184/z03k-syoronbun.pdf,downloads/www.hiroshima-u.ac.jp/z03k-syoronbun.pdf,ok:296KB
https://www.hiroshima-u.ac.jp/system/files/284185/01km-kyoiku-kenkou_r8.pdf,downloads/www.hiroshima-u.ac.jp/01km-kyoiku-kenkou_r8.pdf,ok:441KB
https://www.hiroshima-u.ac.jp/system/files/294399/00K-kyoikugakubu_bijyutsu-jitsugi.pdf.pdf,downloads/www.hiroshima-u.ac.jp/00K-kyoikugakubu_bijyutsu-jitsugi.pdf.pdf,ok:176KB
https://www.hiroshima-u.ac.jp/system/files/284186/02km-kyoiku-kyoiku_r8.pdf,downloads/www.hiroshima-u.ac.jp/02km-kyoiku-kyoiku_r8.pdf,ok:400KB
https://www.hiroshima-u.ac.jp/system/files/284401/03km-kyoiku-shinri_r8.pdf,downloads/www.hiroshima-u.ac.jp/03km-kyoiku-shinri_r8.pdf,ok:1073KB
https://www.hiroshima-u.ac.jp/system/files/284188/05km-keizaii_r8.pdf,downloads/www.hiroshima-u.ac.jp/05km-keizaii_r8.pdf,ok:718KB
https://www.hiroshima-u.ac.jp/system/files/284189/06km-rigaku-suugaku_r8.pdf,downloads/www.hiroshima-u.ac.jp/06km-rigaku-suugaku_r8.pdf,ok:1851KB
https://www.hiroshima-u.ac.jp/system/files/284190/07km-rigaku-butsuri_r8.pdf,downloads/www.hiroshima-u.ac.jp/07km-rigaku-butsuri_r8.pdf,ok:2075KB
https://www.hiroshima-u.ac.jp/system/files/284191/08km-sigaku_r8.pdf,downloads/www.hiroshima-u.ac.jp/08km-sigaku_r8.pdf,ok:575KB
https://www.hiroshima-u.ac.jp/system/files/284192/01kk-kyoiku-kenkou_r8.pdf,downloads/www.hiroshima-u.ac.jp/01kk-kyoiku-kenkou_r8.pdf,ok:197KB
https://www.hiroshima-u.ac.jp/system/files/284250/02kk-kyoiku-kyoiku_r8.pdf,downloads/www.hiroshima-u.ac.jp/02kk-kyoiku-kyoiku_r8.pdf,ok:172KB
https://www.hiroshima-u.ac.jp/system/files/284400/03kk-kyoiku-shinri_r8.pdf,downloads/www.hiroshima-u.ac.jp/03kk-kyoiku-shinri_r8.pdf,ok:190KB
https://www.hiroshima-u.ac.jp/system/files/284195/05kk-keizai_r8.pdf,downloads/www.hiroshima-u.ac.jp/05kk-keizai_r8.pdf,ok:192KB
https://www.hiroshima-u.ac.jp/system/files/284196/06kk-rigaku-suugaku_r8.pdf,downloads/www.hiroshima-u.ac.jp/06kk-rigaku-suugaku_r8.pdf,ok:216KB
https://www.hiroshima-u.ac.jp/system/files/285111/07kk-rigaku-butsuri_r8.pdf,downloads/www.hiroshima-u.ac.jp/07kk-rigaku-butsuri_r8.pdf,ok:1640KB
https://www.hiroshima-u.ac.jp/system/files/284199/08kk-sigaku_r8.pdf,downloads/www.hiroshima-u.ac.jp/08kk-sigaku_r8.pdf,ok:575KB
https://www.hiroshima-u.ac.jp/system/files/276197/01_sougoukagakubu1-m_r8.pdf,downloads/www.hiroshima-u.ac.jp/01_sougoukagakubu1-m_r8.pdf,ok:448KB
https://www.hiroshima-u.ac.jp/system/files/276198/02_11m_seiyoutetsugaku_r8.pdf,downloads/www.hiroshima-u.ac.jp/02_11m_seiyoutetsugaku_r8.pdf,ok:378KB
https://www.hiroshima-u.ac.jp/system/files/276201/02_13m_rinrigaku_r8.pdf,downloads/www.hiroshima-u.ac.jp/02_13m_rinrigaku_r8.pdf,ok:420KB
https://www.hiroshima-u.ac.jp/system/files/276396/02_14m_chugokushisoubunkagaku_r8.pdf,downloads/www.hiroshima-u.ac.jp/02_14m_chugokushisoubunkagaku_r8.pdf,ok:448KB
https://www.hiroshima-u.ac.jp/system/files/276205/02_15m_nihonshigaku_r8.pdf,downloads/www.hiroshima-u.ac.jp/02_15m_nihonshigaku_r8.pdf,ok:380KB
https://www.hiroshima-u.ac.jp/system/files/276206/02_16m_toyoshigaku_r8.pdf,downloads/www.hiroshima-u.ac.jp/02_16m_toyoshigaku_r8.pdf,ok:390KB
https://www.hiroshima-u.ac.jp/system/files/276207/02_17m_seiyoushigaku_r8.pdf,downloads/www.hiroshima-u.ac.jp/02_17m_seiyoushigaku_r8.pdf,ok:394KB
https://www.hiroshima-u.ac.jp/system/files/276208/02_18m_chirigaku_r8.pdf,downloads/www.hiroshima-u.ac.jp/02_18m_chirigaku_r8.pdf,ok:440KB
https://www.hiroshima-u.ac.jp/system/files/276209/02_19m_koukogaku_r8.pdf,downloads/www.hiroshima-u.ac.jp/02_19m_koukogaku_r8.pdf,ok:402KB
https://www.hiroshima-u.ac.jp/system/files/276210/02_20m_bunkazaigaku_r8.pdf,downloads/www.hiroshima-u.ac.jp/02_20m_bunkazaigaku_r8.pdf,ok:458KB
https://www.hiroshima-u.ac.jp/system/files/276211/02_21m_nihonbungakugogaku_r8.pdf,downloads/www.hiroshima-u.ac.jp/02_21m_nihonbungakugogaku_r8.pdf,ok:440KB
https://www.hiroshima-u.ac.jp/system/files/276212/02_26m_gengogaku_r8.pdf,downloads/www.hiroshima-u.ac.jp/02_26m_gengogaku_r8.pdf,ok:411KB
https://www.hiroshima-u.ac.jp/system/files/276217/03_03kyoikugakubu_rika-m_r8.pdf,downloads/www.hiroshima-u.ac.jp/03_03kyoikugakubu_rika-m_r8.pdf,ok:908KB
https://www.hiroshima-u.ac.jp/system/files/276713/03_09kyoikugakubu_nihongo-1m_r8.pdf,downloads/www.hiroshima-u.ac.jp/03_09kyoikugakubu_nihongo-1m_r8.pdf,ok:1388KB
https://www.hiroshima-u.ac.jp/system/files/276983/03_10kyoikugakubu_tabunka-1m_r8_0.pdf,downloads/www.hiroshima-u.ac.jp/03_10kyoikugakubu_tabunka-1m_r8_0.pdf,ok:958KB
https://www.hiroshima-u.ac.jp/system/files/294632/03_16kyoikugakubu_ongaku-jitsugi-m.pdf,downloads/www.hiroshima-u.ac.jp/03_16kyoikugakubu_ongaku-jitsugi-m.pdf,ok:263KB
https://www.hiroshima-u.ac.jp/system/files/295150/03_13kyoikugakubu_bijyutsu-m.pdf,downloads/www.hiroshima-u.ac.jp/03_13kyoikugakubu_bijyutsu-m.pdf,ok:897KB
https://www.hiroshima-u.ac.jp/system/files/276220/03_15kyoikugakubu_kyoiku-m_r8.pdf,downloads/www.hiroshima-u.ac.jp/03_15kyoikugakubu_kyoiku-m_r8.pdf,ok:488KB
https://www.hiroshima-u.ac.jp/system/files/276223/04_hougakubu-m_r8.pdf,downloads/www.hiroshima-u.ac.jp/04_hougakubu-m_r8.pdf,ok:1073KB
https://www.hiroshima-u.ac.jp/system/files/276224/06_01rigakubu_suugaku-m_r8.pdf,downloads/www.hiroshima-u.ac.jp/06_01rigakubu_suugaku-m_r8.pdf,ok:756KB
https://www.hiroshima-u.ac.jp/system/files/276225/07_01igakubu_igakka-m_r8.pdf,downloads/www.hiroshima-u.ac.jp/07_01igakubu_igakka-m_r8.pdf,ok:1255KB
https://www.hiroshima-u.ac.jp/system/files/276226/07_02igakubu_hoken-m_r8.pdf,downloads/www.hiroshima-u.ac.jp/07_02igakubu_hoken-m_r8.pdf,ok:379KB
